"","m","n1","n2","mean","median","max","min"
"104",90,5,90,0.658385093167702,0.634057971014493,0.942028985507246,0.309178743961353
"105",90,5,270,0.761387163561077,0.760869565217391,0.939613526570048,0.507246376811594
"106",90,10,5,0.762939958592132,0.785024154589372,0.92512077294686,0.548309178743961
"107",90,10,10,0.763285024154589,0.785024154589372,0.939613526570048,0.545893719806763
"108",90,10,20,0.752760524499655,0.782608695652174,0.915458937198068,0.541062801932367
"109",90,10,90,0.550983436853002,0.522946859903382,0.908212560386473,0.282608695652174
"110",90,10,270,0.75491718426501,0.747584541062802,0.917874396135266,0.502415458937198
"111",90,20,5,0.777864044168392,0.801932367149758,0.949275362318841,0.507246376811594
"112",90,20,10,0.777173913043478,0.801932367149758,0.949275362318841,0.51207729468599
"113",90,20,20,0.764665286404417,0.785024154589372,0.951690821256039,0.468599033816425
"114",90,20,90,0.540545203588682,0.522946859903382,0.91304347826087,0.294685990338164
"115",90,20,270,0.74611801242236,0.739130434782609,0.922705314009662,0.507246376811594
"116",90,90,5,0.29623878536922,0.252415458937198,0.492753623188406,0.154589371980676
"117",90,90,10,0.298136645962733,0.245169082125604,0.507246376811594,0.161835748792271
"118",90,90,20,0.299603174603175,0.263285024154589,0.509661835748792,0.161835748792271
"119",90,90,90,0.347826086956522,0.317632850241546,0.710144927536232,0.193236714975845
"120",90,90,270,0.357142857142857,0.338164251207729,0.594202898550725,0.256038647342995
"121",90,270,5,0.773809523809524,0.798309178743961,0.942028985507246,0.502415458937198
"122",90,270,10,0.771394064872326,0.794685990338164,0.939613526570048,0.497584541062802
"123",90,270,20,0.771997929606625,0.781400966183575,0.939613526570048,0.475845410628019
"124",90,270,90,0.769755003450656,0.791062801932367,0.949275362318841,0.5
"125",90,270,270,0.742581090407177,0.746376811594203,0.922705314009662,0.449275362318841
"126",270,5,5,0.284188034188034,0.104700854700855,0.965811965811966,0.0384615384615385
"127",270,5,10,0.264652014652015,0.094017094017094,0.957264957264957,0.0213675213675214
"128",270,5,20,0.284340659340659,0.111111111111111,0.948717948717949,0.0427350427350427
"129",270,5,90,0.284035409035409,0.117521367521368,0.88034188034188,0
"130",270,5,270,0.232753357753358,0,0.987179487179487,0
"131",270,10,5,0.313644688644689,0.168803418803419,0.854700854700855,0.123931623931624
"132",270,10,10,0.320512820512821,0.188034188034188,0.901709401709402,0.0982905982905983
"133",270,10,20,0.351953601953602,0.254273504273504,0.85042735042735,0.128205128205128
"134",270,10,90,0.31547619047619,0.222222222222222,0.816239316239316,0.00854700854700855
"135",270,10,270,0.232753357753358,0,0.987179487179487,0
"136",270,20,5,0.420787545787546,0.38034188034188,0.64957264957265,0.273504273504274
"137",270,20,10,0.351495726495727,0.277777777777778,0.846153846153846,0.145299145299145
"138",270,20,20,0.408730158730159,0.378205128205128,0.760683760683761,0.188034188034188
"139",270,20,90,0.367826617826618,0.324786324786325,0.833333333333333,0.0299145299145299
"140",270,20,270,0.231532356532357,0,0.987179487179487,0
"141",270,90,5,0.453449328449328,0.448717948717949,0.641025641025641,0.294871794871795
"142",270,90,10,0.455586080586081,0.448717948717949,0.615384615384615,0.282051282051282
"143",270,90,20,0.45970695970696,0.461538461538462,0.64957264957265,0.282051282051282
"144",270,90,90,0.461996336996337,0.450854700854701,0.700854700854701,0.286324786324786
"145",270,90,270,0.239468864468864,0.00641025641025641,0.987179487179487,0
"146",270,270,5,0.227106227106227,0,0.987179487179487,0
"147",270,270,10,0.228632478632479,0,0.987179487179487,0
"148",270,270,20,0.23046398046398,0,0.987179487179487,0
"149",270,270,90,0.253205128205128,0.00213675213675214,0.987179487179487,0
"150",270,270,270,0.29532967032967,0.145299145299145,0.987179487179487,0
