"","m","n1","n2","mean","median","max","min"
"103",90,5,20,0.568840579710145,0.573671497584541,0.623188405797101,0.5
"104",90,5,90,0.514665286404417,0.531400966183575,0.710144927536232,0.367149758454106
"105",90,5,270,0.562543133195307,0.554347826086957,0.847826086956522,0.461352657004831
"106",90,10,5,0.554434092477571,0.564009661835749,0.603864734299517,0.480676328502415
"107",90,10,10,0.568581780538302,0.576086956521739,0.64975845410628,0.485507246376812
"108",90,10,20,0.54848171152519,0.553140096618358,0.613526570048309,0.48792270531401
"109",90,10,90,0.505779848171153,0.493961352657005,0.681159420289855,0.393719806763285
"110",90,10,270,0.566252587991718,0.560386473429952,0.818840579710145,0.42512077294686
"111",90,20,5,0.556418219461698,0.56280193236715,0.635265700483092,0.473429951690821
"112",90,20,10,0.56444099378882,0.568840579710145,0.63768115942029,0.463768115942029
"113",90,20,20,0.569616977225673,0.564009661835749,0.64975845410628,0.514492753623188
"114",90,20,90,0.534765355417529,0.533816425120773,0.698067632850242,0.449275362318841
"115",90,20,270,0.566252587991718,0.561594202898551,0.840579710144927,0.449275362318841
"116",90,90,5,0.369824016563147,0.35024154589372,0.524154589371981,0.277777777777778
"117",90,90,10,0.374482401656315,0.36231884057971,0.519323671497585,0.263285024154589
"118",90,90,20,0.363008971704624,0.351449275362319,0.531400966183575,0.258454106280193
"119",90,90,90,0.38992408557626,0.364734299516908,0.664251207729469,0.256038647342995
"120",90,90,270,0.442287784679089,0.438405797101449,0.736714975845411,0.311594202898551
"121",90,270,5,0.489044168391994,0.503623188405797,0.710144927536232,0.359903381642512
"122",90,270,10,0.525621118012422,0.530193236714976,0.678743961352657,0.422705314009662
"123",90,270,20,0.518633540372671,0.520531400966184,0.664251207729469,0.35024154589372
"124",90,270,90,0.514665286404417,0.502415458937198,0.845410628019324,0.297101449275362
"125",90,270,270,0.4993961352657,0.489130434782609,0.85024154589372,0.306763285024155
"126",270,5,5,0.440934065934066,0.405982905982906,0.64957264957265,0.307692307692308
"127",270,5,10,0.460775335775336,0.435897435897436,0.623931623931624,0.35042735042735
"128",270,5,20,0.448565323565324,0.425213675213675,0.658119658119658,0.311965811965812
"129",270,5,90,0.466880341880342,0.455128205128205,0.662393162393162,0.329059829059829
"130",270,5,270,0.39010989010989,0.367521367521368,0.854700854700855,0.106837606837607
"131",270,10,5,0.489468864468864,0.487179487179487,0.564102564102564,0.44017094017094
"132",270,10,10,0.487484737484737,0.482905982905983,0.572649572649573,0.414529914529915
"133",270,10,20,0.492216117216117,0.489316239316239,0.572649572649573,0.414529914529915
"134",270,10,90,0.493284493284493,0.482905982905983,0.58974358974359,0.354700854700855
"135",270,10,270,0.414377289377289,0.361111111111111,0.876068376068376,0.158119658119658
"136",270,20,5,0.470238095238095,0.461538461538462,0.581196581196581,0.388888888888889
"137",270,20,10,0.464896214896215,0.44017094017094,0.606837606837607,0.376068376068376
"138",270,20,20,0.46504884004884,0.461538461538462,0.61965811965812,0.341880341880342
"139",270,20,90,0.460927960927961,0.459401709401709,0.602564102564103,0.311965811965812
"140",270,20,270,0.397130647130647,0.33974358974359,0.863247863247863,0.106837606837607
"141",270,90,5,0.484737484737485,0.487179487179487,0.555555555555556,0.367521367521368
"142",270,90,10,0.490995115995116,0.504273504273504,0.564102564102564,0.333333333333333
"143",270,90,20,0.491758241758242,0.512820512820513,0.58974358974359,0.346153846153846
"144",270,90,90,0.499236874236874,0.504273504273504,0.653846153846154,0.320512820512821
"145",270,90,270,0.381105006105006,0.303418803418803,0.846153846153846,0.141025641025641
"146",270,270,5,0.289835164835165,0.11965811965812,0.905982905982906,0.0726495726495727
"147",270,270,10,0.296245421245421,0.141025641025641,0.893162393162393,0.0726495726495727
"148",270,270,20,0.290750915750916,0.141025641025641,0.901709401709402,0.0598290598290598
"149",270,270,90,0.307539682539683,0.173076923076923,0.91025641025641,0.0427350427350427
"150",270,270,270,0.353632478632479,0.277777777777778,0.965811965811966,0.0213675213675214
